TwoLetterCode,FlightNumber,TimeDeparture,TimeArrival
GA,863,17:10,21:10
SQ,986,0:30,7:12
SQ,952,7:40,8:05
SQ,956,9:25,9:50
CX,776,14:25,20:25
CX,718,8:20,14:20
GA,873,9:00,13:00
CX,753,0:11,1:13
CX,777,9:20,13:10
CX,719,16:00,19:50
CX,752,5:15,11:05
2Y,925,4:30,5:30
2Y,921,7:40,8:40
CX,797,19:05,22:45
CX,3241,10:20,13:56
GA,421,9:36,10:48
GA,857,10:48,12:00
CX,3249,7:12,6:14
GA,425,9:36,9:36
GA,409,1:12,0:00
GA,419,4:48,7:12
GA,839,4:48,3:36
MH,717,3:36,4:48
SQ,7861,4:00,7:40
SQ,966,18:30,19:20
AK,129,3:20,7:15
AK,139,11:45,15:40
AK,388,4:48,6:00
QZ,203,12:00,10:48
AK,382,13:12,0:00
AK,380,7:00,1:12
AK,384,1:12,1:12
AK,386,12:00,20:00
QZ,201,13:12,2:24
XT,209,12:00,0:00
MH,711,2:24,3:36
QZ,207,6:00,7:12
MH,725,1:12,1:12
MH,721,7:26,9:50
MH,723,7:12,8:24
8F,781,6:00,10:28
MH,713,7:12,7:26
MH,727,0:00,1:12
BI,735,9:36,0:00
3K,203,13:35,14:30
TR,2274,0:00,0:00
TR,2278,10:20,11:10
3K,201,8:12,8:54
GA,417,18:35,19:50
CZ,8352,3:36,4:48
CZ,8353,3:36,4:48
GA,407,12:00,12:55
CI,679,4:48,1:12
GA,319,15:30,16:45
TG,435,14:25,17:55
EK,542,9:50,13:25
TG,433,8:26,12:00
GA,411,1:15,16:35
SQ,960,15:15,16:00
SQ,891,6:00,4:48
SQ,968,21:55,22:40
EK,356,6:57,7:55
KL,809,11:31,6:00
2Y,923,12:00,9:36
BR,237,12:28,7:26
EY,474,8:09,1:12
CI,5853,13:12,0:00
KE,627,7:12,7:12
5J,759,8:24,9:36
OZ,761,3:36,3:36
SQ,950,4:48,1:12
SQ,958,7:12,3:36
VN,631,12:00,0:00
QR,956,6:00,6:00
CI,761,10:48,2:24
QZ,269,0:00,9:36
GA,899,10:48,2:24
AK,353,12:00,10:48
TK,56,10:19,6:57
SQ,853,4:48,12:00
NH,871,7:12,1:12
GA,897,4:48,9:36
NH,835,1:12,13:12
3K,207,10:48,9:36
TH,1021,0:00,0:00
3K,211,12:43,9:50
3K,205,0:00,13:12
QZ,263,4:48,1:12
QZ,209,7:12,0:00
ZH,9047,0:00,4:48
GA,4012,0:00,0:00
GA,879,8:24,10:48
CX,793,12:00,8:24
SQ,964,4:48,1:12
D7,688,10:48,10:48
8K,8K542,7:12,10:48
UR,UKL408,11:16,11:16
8K,8K541,7:12,0:00
SQ,962,2:24,13:12
SL,116,4:48,12:00
HX,HX707,5:16,3:36
HX,HX709,4:48,7:12
CX,785,1:12,0:00
GA,857,10:48,10:48
3K,243,1:12,13:12
SQ,938,4:48,1:12
CI,771,1:26,5:45
BR,255,0:00,4:48
KE,633,6:00,9:36
TG,431,0:57,3:50
FD,396,2:38,3:36
CZ,6065,6:00,9:36
QZ,551,7:12,8:24
MU,5029,0:00,7:12
KA,350,7:12,12:43
SL,118,12:00,2:24
2Y,924,7:12,0:00
FX,9124,0:00,0:00
FX,5194,6:14,3:36
FX,5194,11:56,5:16
TR,274,18:15,9:05
JL,725,11:05,16:50
OD,320,8:45,7:35
SQ,607,21:55,22:10
QF,41,13:45,18:05
2Y,922,7:50,9:30
2Y,801,0:00,1:45
2Y,804,7:30,8:45
2Y,239,9:50,17:00
TG,601,0:57,3:50
TG,603,0:57,3:50
TG,605,0:57,3:50
TG,608,0:57,3:50
QR,950,6:00,6:00
QR,952,6:00,6:00
QR,954,6:00,6:00
QR,958,6:00,6:00
SQ,863,4:48,12:00
KA,627,7:12,12:43
BR,828,12:28,8:09
KE,349,8:38,13:26
JT,153,10:00,14:00
TG,607,0:57,3:50
ID,7158,13:00,13:45
2Y,205,9:30,16:00
BI,636,14:55,18:00
PR,535,12:00,13:00
PR,539,17:00,18:00
CV,169,15:40,22:00
F5,4486,4:00,13:30
FX,6091,11:56,5:16
GA,835,10:48,10:48
2Y,901,4:30,5:30
CA,589,0:00,0:00
F5,2253,11:20,12:20
RH,9346,0:00,0:00
RH,9345,10:00,13:00
2Y,8526,19:00,19:10
2Y,8801,19:10,19:20
2Y,801,19:00,20:00
LQ,9008,19:00,20:00
TH,9730,0:00,0:00
SJ,3171,18:00,20:00
2Y,8803,19:10,19:20
EK,356,21:00,21:30
LD,8915,21:00,21:45
2Y,7712,21:00,21:45
2Y,9331,17:00,17:45
SL,116,8:09,12:00
QG,803,17:50,19:00
2Y,3306,19:00,22:00
CV,7941,10:00,14:00
FX,9194,11:56,5:16
FX,9194,11:56,5:16
ET,628,10:00,11:00
FX,519D,6:14,3:36
FX,609D,11:56,5:16
GA,867,17:00,18:00
2Y,9901,10:00,12:00
CK,291,10:00,13:00
FX,6091,6:00,9:00
GA,8734,11:30,8:30
GA,713,5:00,8:00
GM,300,1:00,3:00
GM,20,1:00,3:00
GA,4114,17:00,18:00
SJ,3185,18:30,23:15
GW,732,14:25,16:25
N8,816,21:55,9:15
CI,5870,23:30,3:00
2Y,9903,10:00,12:00
MU,7179,0:00,0:00
JT,262,11:00,14:00
